Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"57. 5 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, cheddar e orégano. ";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696892883blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"38. Camarão aos 4 queijos";"Molho de tomate caseiro, mussarela, camarão, parmesão, provolone e catupiry.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696390224blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"CATUPERU";"Molho de tomate caseiro, mussarela, peito de peru, catupiry e orégano.";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"3. Americana";"Molho de tomate caseiro, mussarela, milho, bacon, ovos e orégano. ";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"58. 6 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, gorgonzola, catupiry, cheddar e orégano.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"42. Filé com fritas";"Molho de tomate caseiro, mussarela, tiras de carne, batata frita e orégano.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737697011792blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"24. La torre";"Molho de tomate caseiro, mussarela, lombo canadense, palmito e creme de leite.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"30. Napolitana";"Molho de tomate caseiro, mussarela, tomate, provolone e orégano.";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"12. Calabresa com cebola";"Molho de tomate caseiro, mussarela, calabresa, cebola e orégano.";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695778147blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"FLORESTA NEGRA";"Chocolate preto e cerejas.";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"4. Brócolis";"Molho de tomate caseiro, mussarela, brócolis, tomate, alho frito e orégano.";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737694875750blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"PRESUNTO E QUEIJO (MODA ARGENTINA)";"Molho de tomate caseiro, mussarela, presunto e orégano.";"0,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"40. Champignon";"Molho de tomate caseiro, mussarela, champignon, catupiry e orégano.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"22. Havaiana";"Molho de tomate caseiro, mussarela, lombo canadense, abacaxi e orégano.";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695866889blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Banana com Doce de Leite";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737856217440blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Banana Leite Ninho e Chocolate ao Leite";"";"25,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Banana Leite Ninho e Leite Condensado";"";"25,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Banana Nevada";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737856465092blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Chocolate Branco";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965501688blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Chocolate Preto";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737856855359blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Confete";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965514527blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Dois Amores (Chocolate Preto e Branco)";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965826762blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Prestígio";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965797290blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Prestígio Branco";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748754425260blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Romeu e Julieta";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735965844263blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Sensação Preto";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737842592318blob"
"ADICIONAL / SABOR";"[GRUPO] Selecione o sabor";"Sensação Branca";"";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737856650583blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"62. Banana com chocolate preto e leite condensado. ";"Mussarela, banana, chocolate preto e leite condensado.";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"67. Chocolate branco";"Mussarela, chocolate branco e leite condensado. ";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"72. Charge branco";"Mussarela, chocolate branco, amendoim e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"74. Prestigio";"Mussarela, chocolate preto, coco ralado e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"68. Bem casado";"Mussarela, chocolate preto, chocolate branco e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"81. Sensação branca";"Mussarela, chocolate branco, morango e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415101011blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"82. Sonho de valsa";"Mussarela, chocolate preto, bombom sonho de valsa e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"83. Óreo";"Mussarela, chocolate branco, biscoito óreo e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737698720390blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"65. Banana leite ninho e leite condensado";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"69. Califórnia";"Mussarela, abacaxi, pêssego, figo, açúcar, canela e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"64. Banana leite ninho e chocolate ao leite";"Banana com leite ninho, chocolate ao leite e leite condensado. ";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"76. Romeu e julieta";"Mussarela e goiabada";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"71. Charge";"Mussarela, chocolate preto, amendoim e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"78. Banana nevada";"Mussarela, banana, canela, chocolate branco e leite condensado. ";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737698403341blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"80. Sensação";"Mussarela, chocolate preto, morango e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415228884blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"63. Banana com canela";"Mussarela, banana, açúcar, canela e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"66. Brigadeiro";"Chocolate preto e granulado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"84. Ouro branco";"Mussarela, chocolate branco,  bombom ouro branco e leite condensado. ";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"79. Banoffe";"Mussarela banana, canela e doce de leite";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"70. Confeti";"Mussarela, chocolate preto, confeti e leite condensado.";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755908566blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"77. Abacaxí com coco";"Mussarela, abacaxí picado, coco ralado, chocolate branco e leite condensado";"8,00";"Sim";"";"https://client-assets.anota.ai/produtos/67434555cd292c0012cd3b27/-1734530628834blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"75. Prestigio branco";"Mussarela, chocolate branco, coco ralado e leite condensado";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415797150blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha até 2 sabores da Pizza Pequena";"73. Chocolate preto";"Mussarela, chocolate preto e leite condensado. ";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747415352983blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Ovo";"";"3,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744815059855blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Calabresa";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860416688blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Queijo";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860525417blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Cheddar";"";"6,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748753313593blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Catupiry";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755009617blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Bacon";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755251191blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha o seu refrigerante";"Fanta laranja 2 litros";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813037896blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha o seu refrigerante";"Sprit 2 litros";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813071035blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha o seu refrigerante";"Coca Cola 2 Litros";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813027508blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha o seu refrigerante";"Coca Zero 2 litros ";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813008157blob"
"ADICIONAL / SABOR";"[GRUPO] Escolha o seu refrigerante";"Guarana Antartica 2 litros";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1744813059392blob"
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Cheddar";"";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Catupiry";"";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Cheddar com Bacon";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Catupiry com Bacon";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Chocolate Preto";"";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Chocolate Branco";"";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Charge Branco";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Charge";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Prestígio";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Doce de Leite";"";"8,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Pequena 25cm";"Borda Prestígio Branco";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Cheddar";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Cheddar com Bacon";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Catupiry";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Chocolate Preto";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Catupiry com Bacon";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Chocolate Branco";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Charge Branco";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Charge";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Doce de Leite";"";"10,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Prestígio";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Média 30cm";"Borda Prestígio Branco";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Cheddar";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Cheddar com Bacon";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Catupiry";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Catupiry com Bacon";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Chocolate Preto";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Chocolate Branco";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Charge Branco";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Doce de Leite";"";"12,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Charge";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Prestígio";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Grande 35cm";"Borda Prestígio Branco";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Cheddar";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Cheddar com Bacon";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Catupiry";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Chocolate Preto";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Catupiry com Bacon";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Chocolate Branco";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Charge Branco";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Doce de Leite";"";"14,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Prestígio";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Charge";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Famiia 40cm";"Borda Prestígio Branco";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Cheddar";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Cheddar com Bacon";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Catupiry";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Catupiry com Bacon";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Chocolate Branco";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Chocolate Preto";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Charge Branco";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Doce de Leite";"";"16,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Charge";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Prestígio Branco";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Borda Gigante 45cm";"Borda Prestígio";"";"18,00";"Sim";"";""
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"1. Alho e óleo";"Molho de tomate caseiro, mussarela, alho frito e azeitonas pretas e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737694644503blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"10. Bauru";"Molho de tomate caseiro, mussarela, presunto, tomate e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695122243blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"11. Calabresa";"Molho de tomate caseiro, mussarela, calabresa e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695269496blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"12. Calabresa com cebola";"Molho de tomate caseiro, mussarela, calabresa, cebola e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695778147blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"13. Calabresa especial";"Molho de tomate caseiro, mussarela, calabresa, cebola, catupiry e ovos.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"14. Catulabresa";"Molho de tomate caseiro, mussarela, calabresa e catupiry.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"15. Canadense";"Molho de tomate caseiro, mussarela, lombo canadense, catupiry e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695323565blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"16. Carbonara";"Molho de tomate caseiro, mussarela, Bacon, ovos e creme de leite";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"17. Crocante";"Molho de tomate caseiro, mussarela, bacon, batata palha e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695399619blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"18. Difiori";"Molho de tomate caseiro, mussarela, frango, bacon, tomate e creme de leite";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"19. Frango catupiry";"Molho de tomate caseiro, mussarela, frango com catupiry e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696013237blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"2. Alhobresa";"Molho de tomate caseiro, mussarela, calabresa, alho e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"20. Frango caipira";"Molho de tomate caseiro, mussarela, frango, milho, bacon, catupiry e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696152259blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"21. Fricasse";"Molho de tomate caseiro, mussarela, frango, milho, creme de leite e batata palha.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"22. Havaiana";"Molho de tomate caseiro, mussarela, lombo canadense, abacaxi e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737695866889blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"23. Italiana";"Molho de tomate caseiro, mussarela, presunto, bacon, milho, palmito e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"24. La torre";"Molho de tomate caseiro, mussarela, lombo canadense, palmito e creme de leite.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"25. Lombinho";"Molho de tomate caseiro, mussarela, lombo canadense, cebola e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696261278blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"26. Marguerita";"Molho de tomate caseiro, mussarela, tomate, manjericão, azeitonas pretas e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696326540blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"27. Milho com catupiry";"Molho de tomate caseiro, mussarela, milho e catupiry.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"28. Milho e bacon";"Molho de tomate caseiro, mussarela, milho e bacon.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"29. Mussarela";"Molho de tomate caseiro, mussarela, tomate, azeitonas verde e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737696954898blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"3. Americana";"Molho de tomate caseiro, mussarela, milho, bacon, ovos e orégano. ";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"30. Napolitana";"Molho de tomate caseiro, mussarela, tomate, provolone e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463468531blob"
"ADICIONAL / SABOR";"[GRUPO] Sabor Pequena 25cm";"31. Portuguesa";"Molho de tomate caseiro, mussarela, presunto, queijo, ovo, tomate, cebola, pimentão, azeitonas verde e orégano.";"40,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737698133288blob"
